level,fn,bpp,mse,np
11.00, kodak/kodim03.png, 0.0981, 89.0718, 393216
11.00, kodak/kodim08.png, 0.3143, 194.9439, 393216
11.00, kodak/kodim21.png, 0.1825, 141.9747, 393216
11.00, kodak/kodim18.png, 0.2132, 207.7560, 393216
11.00, kodak/kodim15.png, 0.1153, 104.8576, 393216
11.00, kodak/kodim09.png, 0.1135, 92.9200, 393216
11.00, kodak/kodim17.png, 0.1261, 130.0117, 393216
11.00, kodak/kodim20.png, 0.1163, 91.6766, 393216
11.00, kodak/kodim12.png, 0.0990, 93.6511, 393216
11.00, kodak/kodim22.png, 0.1393, 164.0077, 393216
11.00, kodak/kodim19.png, 0.1341, 132.8066, 393216
11.00, kodak/kodim02.png, 0.1027, 115.0897, 393216
11.00, kodak/kodim10.png, 0.1155, 114.4093, 393216
11.00, kodak/kodim05.png, 0.2959, 195.0406, 393216
11.00, kodak/kodim23.png, 0.0999, 75.0607, 393216
11.00, kodak/kodim11.png, 0.1555, 154.0815, 393216
11.00, kodak/kodim24.png, 0.2231, 200.8041, 393216
11.00, kodak/kodim01.png, 0.2338, 201.6769, 393216
11.00, kodak/kodim04.png, 0.1130, 127.6727, 393216
11.00, kodak/kodim14.png, 0.1980, 200.1902, 393216
11.00, kodak/kodim13.png, 0.3468, 294.5923, 393216
11.00, kodak/kodim06.png, 0.1842, 163.1339, 393216
11.00, kodak/kodim16.png, 0.1089, 133.3480, 393216
11.00, kodak/kodim07.png, 0.1400, 106.4052, 393216
12.00, kodak/kodim03.png, 0.1015, 87.9300, 393216
12.00, kodak/kodim08.png, 0.3272, 188.6418, 393216
12.00, kodak/kodim21.png, 0.1917, 138.8524, 393216
12.00, kodak/kodim18.png, 0.2245, 199.9567, 393216
12.00, kodak/kodim15.png, 0.1194, 104.5556, 393216
12.00, kodak/kodim09.png, 0.1177, 92.3208, 393216
12.00, kodak/kodim17.png, 0.1309, 127.4763, 393216
12.00, kodak/kodim20.png, 0.1205, 94.4535, 393216
12.00, kodak/kodim12.png, 0.1030, 96.1282, 393216
12.00, kodak/kodim22.png, 0.1464, 160.3023, 393216
12.00, kodak/kodim19.png, 0.1403, 131.3087, 393216
12.00, kodak/kodim02.png, 0.1063, 114.4261, 393216
12.00, kodak/kodim10.png, 0.1197, 112.4153, 393216
12.00, kodak/kodim05.png, 0.3090, 187.7247, 393216
12.00, kodak/kodim23.png, 0.1031, 75.5075, 393216
12.00, kodak/kodim11.png, 0.1633, 150.8175, 393216
12.00, kodak/kodim24.png, 0.2335, 195.0439, 393216
12.00, kodak/kodim01.png, 0.2466, 194.8227, 393216
12.00, kodak/kodim04.png, 0.1174, 124.5987, 393216
12.00, kodak/kodim14.png, 0.2081, 192.9863, 393216
12.00, kodak/kodim13.png, 0.3675, 282.3256, 393216
12.00, kodak/kodim06.png, 0.1940, 159.1012, 393216
12.00, kodak/kodim16.png, 0.1147, 130.4678, 393216
12.00, kodak/kodim07.png, 0.1453, 104.2978, 393216
13.00, kodak/kodim03.png, 0.1069, 78.2783, 393216
13.00, kodak/kodim08.png, 0.3457, 171.6051, 393216
13.00, kodak/kodim21.png, 0.2039, 124.8068, 393216
13.00, kodak/kodim18.png, 0.2388, 182.4120, 393216
13.00, kodak/kodim15.png, 0.1252, 93.7702, 393216
13.00, kodak/kodim09.png, 0.1242, 81.0883, 393216
13.00, kodak/kodim17.png, 0.1379, 114.4681, 393216
