hash,level,bpp,mse
128168256, 4, 0.7064, 21.1580
128168256, 5, 0.9626, 13.4427
128168256, 6, 1.2749, 8.8025
128168256, 7, 1.6281, 6.4127
128256032, 0, 0.1571, 130.5082
128256032, 1, 0.2319, 91.1679
128256032, 2, 0.3447, 69.4384
128256032, 3, 0.5037, 39.5086
128256032, 4, 0.7064, 24.1160
128256032, 5, 0.9626, 15.7132
128256032, 6, 1.2749, 10.4438
128256032, 7, 1.6281, 7.7923
128256064, 0, 0.1571, 114.7894
128256064, 1, 0.2319, 79.5812
128256064, 2, 0.3447, 61.8730
128256064, 3, 0.5037, 34.5646
128256064, 4, 0.7064, 21.5014
128256064, 5, 0.9626, 13.8948
128256064, 6, 1.2749, 9.2925
128256064, 7, 1.6281, 6.8309
128256096, 0, 0.1571, 120.2143
128256096, 1, 0.2319, 82.0882
128256096, 2, 0.3447, 61.8042
128256096, 3, 0.5037, 34.5766
128256096, 4, 0.7064, 21.2341
128256096, 5, 0.9626, 13.6462
128256096, 6, 1.2749, 9.0379
128256096, 7, 1.6281, 6.6144
128256144, 0, 0.1571, 133.1371
128256144, 1, 0.2319, 88.5028
128256144, 2, 0.3447, 63.9345
128256144, 3, 0.5037, 35.1259
128256144, 4, 0.7064, 21.1537
128256144, 5, 0.9626, 13.5005
128256144, 6, 1.2749, 8.8764
128256144, 7, 1.6281, 6.4823
128256256, 0, 0.1571, 139.7998
128256256, 1, 0.2319, 90.9314
128256256, 2, 0.3447, 64.5390
128256256, 3, 0.5037, 35.1497
128256256, 4, 0.7064, 21.0139
128256256, 5, 0.9626, 13.3392
128256256, 6, 1.2749, 8.7352
128256256, 7, 1.6281, 6.3552
192032032, 0, 0.1571, 126.8521
192032032, 1, 0.2319, 94.7214
192032032, 2, 0.3447, 78.0095
192032032, 3, 0.5037, 50.2173
192032032, 4, 0.7064, 35.2251
192032032, 5, 0.9626, 26.6327
192032032, 6, 1.2749, 19.6569
192032032, 7, 1.6281, 15.8153
192032064, 0, 0.1571, 119.2183
192032064, 1, 0.2319, 84.0144
192032064, 2, 0.3447, 65.6695
192032064, 3, 0.5037, 36.9609
